"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	Population
	"Arizona"	"04"	"50-54 years"	"50-54"	418625
	"Arizona"	"04"	"55-59 years"	"55-59"	442085
	"Arizona"	"04"	"60-64 years "	"60-64"	424192
	"Arizona"	"04"	"65-69 years"	"65-69"	389729
	"Arizona"	"04"	"70-74 years"	"70-74"	336433
	"Arizona"	"04"	"75-79 years"	"75-79"	239494
	"Arizona"	"04"	"80-84 years"	"80-84"	150319
	"Arizona"	"04"	"85+ years"	"85+"	142275
"Total"	"Arizona"	"04"			7171646
	"Arkansas"	"05"	"< 1 year"	"1"	36901
	"Arkansas"	"05"	"1-4 years"	"1-4"	153442
	"Arkansas"	"05"	"5-9 years"	"5-9"	193284
	"Arkansas"	"05"	"10-14 years"	"10-14"	200786
	"Arkansas"	"05"	"15-19 years"	"15-19"	197707
	"Arkansas"	"05"	"20-24 years"	"20-24"	201638
	"Arkansas"	"05"	"25-29 years"	"25-29"	206497
	"Arkansas"	"05"	"30-34 years"	"30-34"	190091
	"Arkansas"	"05"	"35-39 years"	"35-39"	191673
	"Arkansas"	"05"	"40-44 years"	"40-44"	176845
	"Arkansas"	"05"	"45-49 years"	"45-49"	184172
	"Arkansas"	"05"	"50-54 years"	"50-54"	184495
	"Arkansas"	"05"	"55-59 years"	"55-59"	198163
	"Arkansas"	"05"	"60-64 years "	"60-64"	186304
	"Arkansas"	"05"	"65-69 years"	"65-69"	162561
	"Arkansas"	"05"	"70-74 years"	"70-74"	133450
	"Arkansas"	"05"	"75-79 years"	"75-79"	95234
	"Arkansas"	"05"	"80-84 years"	"80-84"	61565
	"Arkansas"	"05"	"85+ years"	"85+"	59017
"Total"	"Arkansas"	"05"			3013825
	"California"	"06"	"< 1 year"	"1"	477320
	"California"	"06"	"1-4 years"	"1-4"	1963980
	"California"	"06"	"5-9 years"	"5-9"	2488902
	"California"	"06"	"10-14 years"	"10-14"	2547973
	"California"	"06"	"15-19 years"	"15-19"	2545375
	"California"	"06"	"20-24 years"	"20-24"	2711800
	"California"	"06"	"25-29 years"	"25-29"	3125816
	"California"	"06"	"30-34 years"	"30-34"	2917983
	"California"	"06"	"35-39 years"	"35-39"	2754980
	"California"	"06"	"40-44 years"	"40-44"	2500691
	"California"	"06"	"45-49 years"	"45-49"	2568083
	"California"	"06"	"50-54 years"	"50-54"	2503891
	"California"	"06"	"55-59 years"	"55-59"	2518810
	"California"	"06"	"60-64 years "	"60-64"	2262416
	"California"	"06"	"65-69 years"	"65-69"	1853102
	"California"	"06"	"70-74 years"	"70-74"	1432312
	"California"	"06"	"75-79 years"	"75-79"	976718
	"California"	"06"	"80-84 years"	"80-84"	663308
	"California"	"06"	"85+ years"	"85+"	743585
"Total"	"California"	"06"			39557045
	"Colorado"	"08"	"< 1 year"	"1"	66125
	"Colorado"	"08"	"1-4 years"	"1-4"	270729
	"Colorado"	"08"	"5-9 years"	"5-9"	347953
	"Colorado"	"08"	"10-14 years"	"10-14"	365378
	"Colorado"	"08"	"15-19 years"	"15-19"	363364
	"Colorado"	"08"	"20-24 years"	"20-24"	378514
	"Colorado"	"08"	"25-29 years"	"25-29"	453907
	"Colorado"	"08"	"30-34 years"	"30-34"	440515
	"Colorado"	"08"	"35-39 years"	"35-39"	415058
	"Colorado"	"08"	"40-44 years"	"40-44"	365021
	"Colorado"	"08"	"45-49 years"	"45-49"	367581
	"Colorado"	"08"	"50-54 years"	"50-54"	342590
	"Colorado"	"08"	"55-59 years"	"55-59"	367276
	"Colorado"	"08"	"60-64 years "	"60-64"	343324
	"Colorado"	"08"	"65-69 years"	"65-69"	288077
	"Colorado"	"08"	"70-74 years"	"70-74"	212721
	"Colorado"	"08"	"75-79 years"	"75-79"	134107
	"Colorado"	"08"	"80-84 years"	"80-84"	84960
	"Colorado"	"08"	"85+ years"	"85+"	88364
"Total"	"Colorado"	"08"			5695564
	"Connecticut"	"09"	"< 1 year"	"1"	35113
	"Connecticut"	"09"	"1-4 years"	"1-4"	148021
	"Connecticut"	"09"	"5-9 years"	"5-9"	196011
	"Connecticut"	"09"	"10-14 years"	"10-14"	217897
	"Connecticut"	"09"	"15-19 years"	"15-19"	241904
	"Connecticut"	"09"	"20-24 years"	"20-24"	243116
	"Connecticut"	"09"	"25-29 years"	"25-29"	222923
	"Connecticut"	"09"	"30-34 years"	"30-34"	222467
	"Connecticut"	"09"	"35-39 years"	"35-39"	217876
	"Connecticut"	"09"	"40-44 years"	"40-44"	205460
	"Connecticut"	"09"	"45-49 years"	"45-49"	234976
	"Connecticut"	"09"	"50-54 years"	"50-54"	259975
	"Connecticut"	"09"	"55-59 years"	"55-59"	269467
	"Connecticut"	"09"	"60-64 years "	"60-64"	242338
	"Connecticut"	"09"	"65-69 years"	"65-69"	190320
	"Connecticut"	"09"	"70-74 years"	"70-74"	153250
	"Connecticut"	"09"	"75-79 years"	"75-79"	107386
	"Connecticut"	"09"	"80-84 years"	"80-84"	72294
	"Connecticut"	"09"	"85+ years"	"85+"	91871
"Total"	"Connecticut"	"09"			3572665
	"Delaware"	"10"	"< 1 year"	"1"	10645
	"Delaware"	"10"	"1-4 years"	"1-4"	44166
	"Delaware"	"10"	"5-9 years"	"5-9"	56247
	"Delaware"	"10"	"10-14 years"	"10-14"	57654
	"Delaware"	"10"	"15-19 years"	"15-19"	60363
	"Delaware"	"10"	"20-24 years"	"20-24"	58349
	"Delaware"	"10"	"25-29 years"	"25-29"	66980
	"Delaware"	"10"	"30-34 years"	"30-34"	62083
	"Delaware"	"10"	"35-39 years"	"35-39"	58850
	"Delaware"	"10"	"40-44 years"	"40-44"	52618
	"Delaware"	"10"	"45-49 years"	"45-49"	58432
	"Delaware"	"10"	"50-54 years"	"50-54"	64059
	"Delaware"	"10"	"55-59 years"	"55-59"	68793
	"Delaware"	"10"	"60-64 years "	"60-64"	66846
	"Delaware"	"10"	"65-69 years"	"65-69"	59514
	"Delaware"	"10"	"70-74 years"	"70-74"	48680
	"Delaware"	"10"	"75-79 years"	"75-79"	32805
	"Delaware"	"10"	"80-84 years"	"80-84"	20250
	"Delaware"	"10"	"85+ years"	"85+"	19837
"Total"	"Delaware"	"10"			967171
	"District of Columbia"	"11"	"< 1 year"	"1"	9870
	"District of Columbia"	"11"	"1-4 years"	"1-4"	35747
	"District of Columbia"	"11"	"5-9 years"	"5-9"	37622
	"District of Columbia"	"11"	"10-14 years"	"10-14"	28573
	"District of Columbia"	"11"	"15-19 years"	"15-19"	36900
	"District of Columbia"	"11"	"20-24 years"	"20-24"	52924
	"District of Columbia"	"11"	"25-29 years"	"25-29"	83096
	"District of Columbia"	"11"	"30-34 years"	"30-34"	80991
	"District of Columbia"	"11"	"35-39 years"	"35-39"	62212
	"District of Columbia"	"11"	"40-44 years"	"40-44"	43462
	"District of Columbia"	"11"	"45-49 years"	"45-49"	38787
	"District of Columbia"	"11"	"50-54 years"	"50-54"	36666
	"District of Columbia"	"11"	"55-59 years"	"55-59"	36676
	"District of Columbia"	"11"	"60-64 years "	"60-64"	33626
	"District of Columbia"	"11"	"65-69 years"	"65-69"	27984
	"District of Columbia"	"11"	"70-74 years"	"70-74"	21120
	"District of Columbia"	"11"	"75-79 years"	"75-79"	14419
	"District of Columbia"	"11"	"80-84 years"	"80-84"	9627
	"District of Columbia"	"11"	"85+ years"	"85+"	12153
"Total"	"District of Columbia"	"11"			702455
	"Florida"	"12"	"< 1 year"	"1"	222040
	"Florida"	"12"	"1-4 years"	"1-4"	921143
	"Florida"	"12"	"5-9 years"	"5-9"	1157587
	"Florida"	"12"	"10-14 years"	"10-14"	1206247
	"Florida"	"12"	"15-19 years"	"15-19"	1206422
	"Florida"	"12"	"20-24 years"	"20-24"	1269823
	"Florida"	"12"	"25-29 years"	"25-29"	1436477
	"Florida"	"12"	"30-34 years"	"30-34"	1351778
	"Florida"	"12"	"35-39 years"	"35-39"	1318582
	"Florida"	"12"	"40-44 years"	"40-44"	1250182
	"Florida"	"12"	"45-49 years"	"45-49"	1351855
	"Florida"	"12"	"50-54 years"	"50-54"	1394517
	"Florida"	"12"	"55-59 years"	"55-59"	1470580
	"Florida"	"12"	"60-64 years "	"60-64"	1384021
	"Florida"	"12"	"65-69 years"	"65-69"	1271880
	"Florida"	"12"	"70-74 years"	"70-74"	1126022
	"Florida"	"12"	"75-79 years"	"75-79"	833186
	"Florida"	"12"	"80-84 years"	"80-84"	555564
	"Florida"	"12"	"85+ years"	"85+"	571419
"Total"	"Florida"	"12"			21299325
	"Georgia"	"13"	"< 1 year"	"1"	126952
	"Georgia"	"13"	"1-4 years"	"1-4"	530462
	"Georgia"	"13"	"5-9 years"	"5-9"	685904
	"Georgia"	"13"	"10-14 years"	"10-14"	727758
	"Georgia"	"13"	"15-19 years"	"15-19"	728370
	"Georgia"	"13"	"20-24 years"	"20-24"	716652
	"Georgia"	"13"	"25-29 years"	"25-29"	767745
	"Georgia"	"13"	"30-34 years"	"30-34"	705501
	"Georgia"	"13"	"35-39 years"	"35-39"	705228
	"Georgia"	"13"	"40-44 years"	"40-44"	667374
	"Georgia"	"13"	"45-49 years"	"45-49"	718419
	"Georgia"	"13"	"50-54 years"	"50-54"	693019
	"Georgia"	"13"	"55-59 years"	"55-59"	682347
	"Georgia"	"13"	"60-64 years "	"60-64"	603335
	"Georgia"	"13"	"65-69 years"	"65-69"	500976
	"Georgia"	"13"	"70-74 years"	"70-74"	394443
	"Georgia"	"13"	"75-79 years"	"75-79"	259740
	"Georgia"	"13"	"80-84 years"	"80-84"	158617
	"Georgia"	"13"	"85+ years"	"85+"	146633
"Total"	"Georgia"	"13"			10519475
	"Hawaii"	"15"	"< 1 year"	"1"	17224
	"Hawaii"	"15"	"1-4 years"	"1-4"	70480
	"Hawaii"	"15"	"5-9 years"	"5-9"	86869
	"Hawaii"	"15"	"10-14 years"	"10-14"	81954
	"Hawaii"	"15"	"15-19 years"	"15-19"	77179
	"Hawaii"	"15"	"20-24 years"	"20-24"	90951
	"Hawaii"	"15"	"25-29 years"	"25-29"	103977
	"Hawaii"	"15"	"30-34 years"	"30-34"	99029
	"Hawaii"	"15"	"35-39 years"	"35-39"	96796
	"Hawaii"	"15"	"40-44 years"	"40-44"	83714
	"Hawaii"	"15"	"45-49 years"	"45-49"	85505
	"Hawaii"	"15"	"50-54 years"	"50-54"	85119
	"Hawaii"	"15"	"55-59 years"	"55-59"	90807
	"Hawaii"	"15"	"60-64 years "	"60-64"	89920
	"Hawaii"	"15"	"65-69 years"	"65-69"	82492
	"Hawaii"	"15"	"70-74 years"	"70-74"	66441
	"Hawaii"	"15"	"75-79 years"	"75-79"	42395
	"Hawaii"	"15"	"80-84 years"	"80-84"	28595
	"Hawaii"	"15"	"85+ years"	"85+"	41044
"Total"	"Hawaii"	"15"			1420491
	"Idaho"	"16"	"< 1 year"	"1"	22348
	"Idaho"	"16"	"1-4 years"	"1-4"	93991
	"Idaho"	"16"	"5-9 years"	"5-9"	122965
	"Idaho"	"16"	"10-14 years"	"10-14"	131036
	"Idaho"	"16"	"15-19 years"	"15-19"	124506
	"Idaho"	"16"	"20-24 years"	"20-24"	114894
	"Idaho"	"16"	"25-29 years"	"25-29"	119176
	"Idaho"	"16"	"30-34 years"	"30-34"	112206
	"Idaho"	"16"	"35-39 years"	"35-39"	115383
	"Idaho"	"16"	"40-44 years"	"40-44"	104646
	"Idaho"	"16"	"45-49 years"	"45-49"	101672
	"Idaho"	"16"	"50-54 years"	"50-54"	98253
	"Idaho"	"16"	"55-59 years"	"55-59"	108608
	"Idaho"	"16"	"60-64 years "	"60-64"	106242
	"Idaho"	"16"	"65-69 years"	"65-69"	94545
	"Idaho"	"16"	"70-74 years"	"70-74"	73696
	"Idaho"	"16"	"75-79 years"	"75-79"	50168
	"Idaho"	"16"	"80-84 years"	"80-84"	30454
	"Idaho"	"16"	"85+ years"	"85+"	29419
"Total"	"Idaho"	"16"			1754208
	"Illinois"	"17"	"< 1 year"	"1"	147623
	"Illinois"	"17"	"1-4 years"	"1-4"	612996
	"Illinois"	"17"	"5-9 years"	"5-9"	778102
	"Illinois"	"17"	"10-14 years"	"10-14"	819148
	"Illinois"	"17"	"15-19 years"	"15-19"	828205
	"Illinois"	"17"	"20-24 years"	"20-24"	847502
	"Illinois"	"17"	"25-29 years"	"25-29"	903780
	"Illinois"	"17"	"30-34 years"	"30-34"	866001
	"Illinois"	"17"	"35-39 years"	"35-39"	854521
	"Illinois"	"17"	"40-44 years"	"40-44"	785204
	"Illinois"	"17"	"45-49 years"	"45-49"	817893
	"Illinois"	"17"	"50-54 years"	"50-54"	821957
	"Illinois"	"17"	"55-59 years"	"55-59"	867598
	"Illinois"	"17"	"60-64 years "	"60-64"	797589
	"Illinois"	"17"	"65-69 years"	"65-69"	649574
	"Illinois"	"17"	"70-74 years"	"70-74"	492679
	"Illinois"	"17"	"75-79 years"	"75-79"	348421
	"Illinois"	"17"	"80-84 years"	"80-84"	235613
	"Illinois"	"17"	"85+ years"	"85+"	266674
"Total"	"Illinois"	"17"			12741080
	"Indiana"	"18"	"< 1 year"	"1"	80539
	"Indiana"	"18"	"1-4 years"	"1-4"	338005
	"Indiana"	"18"	"5-9 years"	"5-9"	430106
	"Indiana"	"18"	"10-14 years"	"10-14"	448590
	"Indiana"	"18"	"15-19 years"	"15-19"	455653
	"Indiana"	"18"	"20-24 years"	"20-24"	471214
	"Indiana"	"18"	"25-29 years"	"25-29"	458859
	"Indiana"	"18"	"30-34 years"	"30-34"	418579
	"Indiana"	"18"	"35-39 years"	"35-39"	425918
	"Indiana"	"18"	"40-44 years"	"40-44"	396284
	"Indiana"	"18"	"45-49 years"	"45-49"	419086
	"Indiana"	"18"	"50-54 years"	"50-54"	420738
	"Indiana"	"18"	"55-59 years"	"55-59"	450922
	"Indiana"	"18"	"60-64 years "	"60-64"	422364
	"Indiana"	"18"	"65-69 years"	"65-69"	350525
	"Indiana"	"18"	"70-74 years"	"70-74"	265056
	"Indiana"	"18"	"75-79 years"	"75-79"	185913
	"Indiana"	"18"	"80-84 years"	"80-84"	122717
	"Indiana"	"18"	"85+ years"	"85+"	130810
"Total"	"Indiana"	"18"			6691878
	"Iowa"	"19"	"< 1 year"	"1"	38291
	"Iowa"	"19"	"1-4 years"	"1-4"	159927
	"Iowa"	"19"	"5-9 years"	"5-9"	201115
	"Iowa"	"19"	"10-14 years"	"10-14"	208564
	"Iowa"	"19"	"15-19 years"	"15-19"	214122
	"Iowa"	"19"	"20-24 years"	"20-24"	227778
	"Iowa"	"19"	"25-29 years"	"25-29"	204286
	"Iowa"	"19"	"30-34 years"	"30-34"	193429
	"Iowa"	"19"	"35-39 years"	"35-39"	202104
	"Iowa"	"19"	"40-44 years"	"40-44"	177831
	"Iowa"	"19"	"45-49 years"	"45-49"	182267
	"Iowa"	"19"	"50-54 years"	"50-54"	189064
	"Iowa"	"19"	"55-59 years"	"55-59"	213907
	"Iowa"	"19"	"60-64 years "	"60-64"	203630
	"Iowa"	"19"	"65-69 years"	"65-69"	172693
	"Iowa"	"19"	"70-74 years"	"70-74"	128180
	"Iowa"	"19"	"75-79 years"	"75-79"	92687
	"Iowa"	"19"	"80-84 years"	"80-84"	67179
	"Iowa"	"19"	"85+ years"	"85+"	79091
"Total"	"Iowa"	"19"			3156145
	"Kansas"	"20"	"< 1 year"	"1"	36439
	"Kansas"	"20"	"1-4 years"	"1-4"	152896
	"Kansas"	"20"	"5-9 years"	"5-9"	197621
	"Kansas"	"20"	"10-14 years"	"10-14"	200446
	"Kansas"	"20"	"15-19 years"	"15-19"	200274
	"Kansas"	"20"	"20-24 years"	"20-24"	213020
	"Kansas"	"20"	"25-29 years"	"25-29"	195035
	"Kansas"	"20"	"30-34 years"	"30-34"	187849
	"Kansas"	"20"	"35-39 years"	"35-39"	189972
	"Kansas"	"20"	"40-44 years"	"40-44"	166350
	"Kansas"	"20"	"45-49 years"	"45-49"	166989
	"Kansas"	"20"	"50-54 years"	"50-54"	168948
	"Kansas"	"20"	"55-59 years"	"55-59"	191689
	"Kansas"	"20"	"60-64 years "	"60-64"	181736
	"Kansas"	"20"	"65-69 years"	"65-69"	150262
	"Kansas"	"20"	"70-74 years"	"70-74"	112595
	"Kansas"	"20"	"75-79 years"	"75-79"	78411
	"Kansas"	"20"	"80-84 years"	"80-84"	55437
	"Kansas"	"20"	"85+ years"	"85+"	65536
"Total"	"Kansas"	"20"			2911505
	"Kentucky"	"21"	"< 1 year"	"1"	53557
	"Kentucky"	"21"	"1-4 years"	"1-4"	221855
	"Kentucky"	"21"	"5-9 years"	"5-9"	276726
	"Kentucky"	"21"	"10-14 years"	"10-14"	285788
	"Kentucky"	"21"	"15-19 years"	"15-19"	287105
	"Kentucky"	"21"	"20-24 years"	"20-24"	301530
	"Kentucky"	"21"	"25-29 years"	"25-29"	310326
	"Kentucky"	"21"	"30-34 years"	"30-34"	274781
	"Kentucky"	"21"	"35-39 years"	"35-39"	283045
	"Kentucky"	"21"	"40-44 years"	"40-44"	268904
	"Kentucky"	"21"	"45-49 years"	"45-49"	285632
	"Kentucky"	"21"	"50-54 years"	"50-54"	291182
	"Kentucky"	"21"	"55-59 years"	"55-59"	307881
	"Kentucky"	"21"	"60-64 years "	"60-64"	289464
	"Kentucky"	"21"	"65-69 years"	"65-69"	245059
	"Kentucky"	"21"	"70-74 years"	"70-74"	190146
	"Kentucky"	"21"	"75-79 years"	"75-79"	130899
	"Kentucky"	"21"	"80-84 years"	"80-84"	83904
	"Kentucky"	"21"	"85+ years"	"85+"	80618
"Total"	"Kentucky"	"21"			4468402
	"Louisiana"	"22"	"< 1 year"	"1"	59755
	"Louisiana"	"22"	"1-4 years"	"1-4"	247264
	"Louisiana"	"22"	"5-9 years"	"5-9"	301567
	"Louisiana"	"22"	"10-14 years"	"10-14"	307358
	"Louisiana"	"22"	"15-19 years"	"15-19"	296013
	"Louisiana"	"22"	"20-24 years"	"20-24"	309308
	"Louisiana"	"22"	"25-29 years"	"25-29"	343819
	"Louisiana"	"22"	"30-34 years"	"30-34"	323363
	"Louisiana"	"22"	"35-39 years"	"35-39"	313687
	"Louisiana"	"22"	"40-44 years"	"40-44"	269839
	"Louisiana"	"22"	"45-49 years"	"45-49"	275446
	"Louisiana"	"22"	"50-54 years"	"50-54"	287860
	"Louisiana"	"22"	"55-59 years"	"55-59"	312333
	"Louisiana"	"22"	"60-64 years "	"60-64"	293933
	"Louisiana"	"22"	"65-69 years"	"65-69"	242885
	"Louisiana"	"22"	"70-74 years"	"70-74"	185061
	"Louisiana"	"22"	"75-79 years"	"75-79"	126634
	"Louisiana"	"22"	"80-84 years"	"80-84"	82803
	"Louisiana"	"22"	"85+ years"	"85+"	81050
"Total"	"Louisiana"	"22"			4659978
	"Maine"	"23"	"< 1 year"	"1"	12409
	"Maine"	"23"	"1-4 years"	"1-4"	51873
	"Maine"	"23"	"5-9 years"	"5-9"	67596
	"Maine"	"23"	"10-14 years"	"10-14"	73235
	"Maine"	"23"	"15-19 years"	"15-19"	77391
	"Maine"	"23"	"20-24 years"	"20-24"	75024
	"Maine"	"23"	"25-29 years"	"25-29"	80641
	"Maine"	"23"	"30-34 years"	"30-34"	79699
	"Maine"	"23"	"35-39 years"	"35-39"	78163
	"Maine"	"23"	"40-44 years"	"40-44"	74220
	"Maine"	"23"	"45-49 years"	"45-49"	85710
	"Maine"	"23"	"50-54 years"	"50-54"	94463
	"Maine"	"23"	"55-59 years"	"55-59"	107152
	"Maine"	"23"	"60-64 years "	"60-64"	104829
	"Maine"	"23"	"65-69 years"	"65-69"	91727
	"Maine"	"23"	"70-74 years"	"70-74"	71640
	"Maine"	"23"	"75-79 years"	"75-79"	47585
	"Maine"	"23"	"80-84 years"	"80-84"	31628
	"Maine"	"23"	"85+ years"	"85+"	33419
"Total"	"Maine"	"23"			1338404
	"Maryland"	"24"	"< 1 year"	"1"	70843
	"Maryland"	"24"	"1-4 years"	"1-4"	293661
	"Maryland"	"24"	"5-9 years"	"5-9"	370444
	"Maryland"	"24"	"10-14 years"	"10-14"	378506
	"Maryland"	"24"	"15-19 years"	"15-19"	381504
	"Maryland"	"24"	"20-24 years"	"20-24"	376550
	"Maryland"	"24"	"25-29 years"	"25-29"	418434
	"Maryland"	"24"	"30-34 years"	"30-34"	416178
	"Maryland"	"24"	"35-39 years"	"35-39"	407402
	"Maryland"	"24"	"40-44 years"	"40-44"	366399
	"Maryland"	"24"	"45-49 years"	"45-49"	397341
	"Maryland"	"24"	"50-54 years"	"50-54"	421586
	"Maryland"	"24"	"55-59 years"	"55-59"	432313
	"Maryland"	"24"	"60-64 years "	"60-64"	380421
	"Maryland"	"24"	"65-69 years"	"65-69"	307278
	"Maryland"	"24"	"70-74 years"	"70-74"	238174
	"Maryland"	"24"	"75-79 years"	"75-79"	162850
	"Maryland"	"24"	"80-84 years"	"80-84"	104431
	"Maryland"	"24"	"85+ years"	"85+"	118403
"Total"	"Maryland"	"24"			6042718
	"Massachusetts"	"25"	"< 1 year"	"1"	70787
	"Massachusetts"	"25"	"1-4 years"	"1-4"	289374
	"Massachusetts"	"25"	"5-9 years"	"5-9"	370010
	"Massachusetts"	"25"	"10-14 years"	"10-14"	389142
	"Massachusetts"	"25"	"15-19 years"	"15-19"	455406
	"Massachusetts"	"25"	"20-24 years"	"20-24"	494067
	"Massachusetts"	"25"	"25-29 years"	"25-29"	507860
	"Massachusetts"	"25"	"30-34 years"	"30-34"	485053
	"Massachusetts"	"25"	"35-39 years"	"35-39"	440081
	"Massachusetts"	"25"	"40-44 years"	"40-44"	400571
	"Massachusetts"	"25"	"45-49 years"	"45-49"	443793
	"Massachusetts"	"25"	"50-54 years"	"50-54"	477738
	"Massachusetts"	"25"	"55-59 years"	"55-59"	492474
	"Massachusetts"	"25"	"60-64 years "	"60-64"	446693
	"Massachusetts"	"25"	"65-69 years"	"65-69"	367250
	"Massachusetts"	"25"	"70-74 years"	"70-74"	286579
	"Massachusetts"	"25"	"75-79 years"	"75-79"	193337
	"Massachusetts"	"25"	"80-84 years"	"80-84"	132082
	"Massachusetts"	"25"	"85+ years"	"85+"	159852
"Total"	"Massachusetts"	"25"			6902149
	"Michigan"	"26"	"< 1 year"	"1"	110301
	"Michigan"	"26"	"1-4 years"	"1-4"	461862
	"Michigan"	"26"	"5-9 years"	"5-9"	586648
	"Michigan"	"26"	"10-14 years"	"10-14"	619422
	"Michigan"	"26"	"15-19 years"	"15-19"	653747
	"Michigan"	"26"	"20-24 years"	"20-24"	694627
	"Michigan"	"26"	"25-29 years"	"25-29"	694454
	"Michigan"	"26"	"30-34 years"	"30-34"	602197
	"Michigan"	"26"	"35-39 years"	"35-39"	599690
	"Michigan"	"26"	"40-44 years"	"40-44"	563499
	"Michigan"	"26"	"45-49 years"	"45-49"	629912
	"Michigan"	"26"	"50-54 years"	"50-54"	660148
	"Michigan"	"26"	"55-59 years"	"55-59"	716278
	"Michigan"	"26"	"60-64 years "	"60-64"	686526
	"Michigan"	"26"	"65-69 years"	"65-69"	571956
	"Michigan"	"26"	"70-74 years"	"70-74"	432746
	"Michigan"	"26"	"75-79 years"	"75-79"	302102
	"Michigan"	"26"	"80-84 years"	"80-84"	195814
	"Michigan"	"26"	"85+ years"	"85+"	213986
"Total"	"Michigan"	"26"			9995915
	"Minnesota"	"27"	"< 1 year"	"1"	68566
	"Minnesota"	"27"	"1-4 years"	"1-4"	286725
	"Minnesota"	"27"	"5-9 years"	"5-9"	360434
	"Minnesota"	"27"	"10-14 years"	"10-14"	370652
	"Minnesota"	"27"	"15-19 years"	"15-19"	357809
	"Minnesota"	"27"	"20-24 years"	"20-24"	360065
	"Minnesota"	"27"	"25-29 years"	"25-29"	376534
	"Minnesota"	"27"	"30-34 years"	"30-34"	384391
	"Minnesota"	"27"	"35-39 years"	"35-39"	383690
	"Minnesota"	"27"	"40-44 years"	"40-44"	326575
	"Minnesota"	"27"	"45-49 years"	"45-49"	336922
	"Minnesota"	"27"	"50-54 years"	"50-54"	354569
	"Minnesota"	"27"	"55-59 years"	"55-59"	394922
	"Minnesota"	"27"	"60-64 years "	"60-64"	359523
	"Minnesota"	"27"	"65-69 years"	"65-69"	294482
	"Minnesota"	"27"	"70-74 years"	"70-74"	215698
	"Minnesota"	"27"	"75-79 years"	"75-79"	153154
	"Minnesota"	"27"	"80-84 years"	"80-84"	104784
	"Minnesota"	"27"	"85+ years"	"85+"	121684
"Total"	"Minnesota"	"27"			5611179
	"Mississippi"	"28"	"< 1 year"	"1"	35878
	"Mississippi"	"28"	"1-4 years"	"1-4"	149599
	"Mississippi"	"28"	"5-9 years"	"5-9"	192967
	"Mississippi"	"28"	"10-14 years"	"10-14"	206927
	"Mississippi"	"28"	"15-19 years"	"15-19"	205933
	"Mississippi"	"28"	"20-24 years"	"20-24"	206761
